ID,이름,유형,특성A레벨,특성B레벨,특성C레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,궁극기 이름,궁극기 조건,궁극기 설명줄01,UI002,기술 개수
40,Dịch chuyển,조합,453 ,36 ,0 ,<color=#F5F5E1>,Thi triển Tàng hình 〈7 lần〉 liên tiếp để dịch chuyển ngẫu nhiên và quay về vị trí ban đầu khi kết thúc.,<color=#F5F5E1>,[Số lần thi triển] và [hệ số sát thương] của Tàng hình tăng theo thời gian tồn tại.,<color=#6EDCFF>,Tăng sát thương Tàng hình 3X,<color=#6EDCFF>,Giảm hồi chiêu Tàng hình 70%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,356 ,70 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1062 ,3 ,1 ,0 ,1 ,0 ,1 ,0 ,Ảo giác,25,Vụ nổ Ether hóa lan truyền 5 lần.,`,`
41,Bão lửa,조합,443 ,490 ,0 ,<color=#F5F5E1>,Hố Thiên thạch không còn gây sát thương.,<color=#F5F5E1>,"Thiên thạch được tạo thành hàng từ nhân vật theo [năm hướng] với kích thước thay đổi; tại mỗi mốc {33%}, {66%} và {99%}, tăng [số hướng] thêm 〈1〉 và [hệ số sát thương] thêm 〈5〉.",<color=#6EDCFF>,Tăng sát thương Thiên thạch 10X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,10,1 ,0 ,1 ,0 ,1 ,0 ,볼케이노,0,`,`,`
42,Pháo thuật,조합,363 ,499 ,0 ,<color=#F5F5E1>,Tia phép nổ tại các vị trí ngẫu nhiên,<color=#F5F5E1>,"Vụ nổ Tia phép [mở rộng], gây sức mạnh 〈1~9X〉",<color=#6EDCFF>,Tăng sát thương Tia phép 5X,<color=#6EDCFF>,Kích thước Tia phép tăng 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,162 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,851 ,5,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
43,Thương mana,조합,380 ,542 ,0 ,<color=#F5F5E1>,Tinh linh giờ dùng [hồi chiêu] và [nhịp phóng] mặc định.,<color=#F5F5E1>,[Tốc độ đạn] và [tầm bắn] của Tinh linh tăng vượt trội.,<color=#6EDCFF>,Tăng sát thương Tinh linh 10X,<color=#6EDCFF>,Tăng kích thước Tinh linh 200%,<color=#FF6464>,Tăng hồi chiêu Tinh linh 2X,<color=#FFFFFF>,`,276 ,200 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,971 ,10,982 ,2,1 ,0 ,1 ,0 ,`,0,`,`,`
44,Cổng,조합,543 ,380 ,0 ,<color=#F5F5E1>,[Kích thước tăng thêm] của Chớp điện được {chuyển hóa} thành [sát thương],<color=#6EDCFF>,Tăng sát thương Chớp điện 12X,<color=#6EDCFF>,Tăng số lượng Chớp điện 6X,<color=#6EDCFF>,Giảm hồi chiêu Chớp điện 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,609 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1301 ,12,1304 ,6,1 ,0 ,1 ,0 ,Thăng hoa,22,Chớp điện sinh ra không giới hạn và tăng tốc tỷ lệ thuận với hồi chiêu và số lượng.,`,`
45,Từ trường,조합,389 ,425 ,0 ,<color=#F5F5E1>,Thưởng [tốc độ xoay] của 《Phản trọng lực》 được cố định ở 〈2x〉.,<color=#6EDCFF>,Tăng sát thương Vệ tinh 7X,<color=#6EDCFF>,Tăng kích thước Vệ tinh 100%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,313 ,100 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1006 ,7,1 ,0 ,1 ,0 ,1 ,0 ,Lõi,2,Vệ tinh xoay nhanh trên bán kính rộng với sức mạnh tăng cường.,`,`
46,Cái chết đen,조합,372 ,366 ,0 ,<color=#F5F5E1>,"Cầu lửa [lập tức] phát nổ tại vị trí ngẫu nhiên, gây sát thương 〈4 lần〉.",<color=#F5F5E1>,[Sát thương] tăng tỷ lệ thuận với kích thước Cầu lửa.,<color=#F5F5E1>,Chuyển xuyên thấu Cầu lửa thành 〈50%〉 [số lượng],<color=#6EDCFF>,Tăng sát thương Cầu lửa 20X,<color=#6EDCFF>,Tăng kích thước Cầu lửa 100%,<color=#FF6464>,Tăng hồi chiêu Cầu lửa 2X,187 ,100 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,20,895 ,2,1 ,0 ,1 ,0 ,`,0,`,`,`
47,Hơi thở sét,조합,472 ,488 ,0 ,<color=#F5F5E1>,〈3〉 luồng điện giật được tạo phía trước nhân vật.,<color=#6EDCFF>,Tăng sát thương Điện giật 7X,<color=#6EDCFF>,Số lần điện giật tăng 2X,<color=#FF6464>,Tăng hồi chiêu Điện giật 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,432 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1121 ,7,1126 ,2,1 ,0 ,1 ,0 ,`,0,`,`,`
48,Phượng hoàng,조합,436 ,508 ,0 ,<color=#F5F5E1>,Sóng thần sinh ra phía sau nhân vật,<color=#F5F5E1>,Sóng thần để lại [Ngọn lửa] trên đường đi,<color=#6EDCFF>,Tăng sát thương Sóng thần 24X,<color=#6EDCFF>,Giảm hồi chiêu Sóng thần 30%,<color=#FF6464>,Giảm số lượng Sóng thần 50%,<color=#EB96FF>,Số lần hồi sinh tăng thêm 1,259 ,30 ,255 ,50 ,49 ,1 ,1 ,0 ,1 ,0 ,951 ,24,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
49,Vung kiếm,조합,542 ,381 ,0 ,<color=#F5F5E1>,"Chớp điện sinh ra liên tiếp 〈7 lần〉 theo mọi hướng; với mỗi mức giảm hồi chiêu từ [5 giây] xuống [0.5 giây], [số lượng] tăng thêm 〈1〉",<color=#F5F5E1>,Chớp điện chỉ gây sát thương ở [Lõi],<color=#6EDCFF>,Giảm hồi chiêu Chớp điện 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,603 ,6 ,609 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
50,Hố đen,조합,463 ,391 ,0 ,<color=#F5F5E1>,Lốc xoáy được [Hợp nhất] thành một,<color=#F5F5E1>,Kẻ địch trúng Lốc xoáy bị [Choáng],<color=#F5F5E1>,Hồi chiêu Lốc xoáy bắt đầu sau khi hết thời gian tồn tại,<color=#F5F5E1>,[Thời gian tăng thêm] của Lốc xoáy được {chuyển hóa} thành [sát thương] 〈3X〉,<color=#F5F5E1>,[Số lượng] Lốc xoáy tăng [hệ số sát thương] thêm 〈3〉,<color=#6EDCFF>,Tăng sát thương Lốc xoáy 8X,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1091 ,8,1 ,0 ,1 ,0 ,1 ,0 ,이벤트 호라이즌,0,`,`,`
51,Sáng thế,조합,507 ,373 ,0 ,<color=#F5F5E1>,"[Hồi chiêu] Bão tuyết nhanh hơn tỷ lệ thuận với số lượng, @ và [nhịp tạo] trở nên bằng với [hồi chiêu].",<color=#6EDCFF>,Tăng sát thương Bão tuyết 30X,<color=#6EDCFF>,Giảm hồi chiêu Bão tuyết 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,519 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1211 ,30,1 ,0 ,1 ,0 ,1 ,0 ,Vũ trụ,21,Bão tuyết xuất hiện đồng thời trên diện rộng.,`,`
52,Astrape,조합,418 ,445 ,0 ,<color=#F5F5E1>,"Khi Giông bão phát nổ, nó phóng ra một [sóng xung kích] xung quanh, gây [một nửa] sát thương lên kẻ địch gần đó và [làm choáng] chúng.",<color=#6EDCFF>,Tăng sát thương Giông bão 7X,<color=#6EDCFF>,Tăng kích thước Giông bão 25%,<color=#FF6464>,Tăng hồi chiêu Giông bão 25X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,216 ,25 ,220 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,7,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
53,Siêu tân tinh,조합,382 ,499 ,0 ,<color=#F5F5E1>,Bắn các đạn Tinh linh cùng lúc.,<color=#6EDCFF>,Tăng sát thương Tinh linh 24X,<color=#6EDCFF>,Tăng kích thước Tinh linh 100%,<color=#FF6464>,Số lần phóng Tinh linh giảm 75%,<color=#FF6464>,Tăng hồi chiêu Tinh linh 2X,<color=#FFFFFF>,`,276 ,100 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,971 ,24,975 ,75,982 ,2,1 ,0 ,`,0,`,`,`
54,Blaster,조합,362 ,542 ,0 ,<color=#F5F5E1>,Tia phép [thứ 6] bắn ra có sức mạnh 〈7X〉,<color=#6EDCFF>,Tăng sát thương Tia phép 5X,<color=#6EDCFF>,Kích thước Tia phép tăng 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,162 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,851 ,5,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
55,Lửa địa ngục,조합,489 ,508 ,0 ,<color=#F5F5E1>,Thiêu hủy tạo ra 〈2X〉,<color=#F5F5E1>,[Ngọn lửa] Thiêu hủy nổ liên tiếp 〈2~3 lần〉,<color=#6EDCFF>,Tăng sát thương Thiêu hủy 12X,<color=#6EDCFF>,Tăng kích thước Thiêu hủy 100%,<color=#FF6464>,Tăng hồi chiêu Thiêu hủy 50%,<color=#FFFFFF>,`,468 ,100 ,473 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1161 ,12,1 ,0 ,1 ,0 ,1 ,0 ,헬게이트,0,`,`,`
56,Kỷ nguyên mặt trời,조합,534 ,391 ,0 ,<color=#F5F5E1>,Vùng dung nham được tạo đồng thời theo mọi hướng và lan ra ngoài.,<color=#F5F5E1>,Chuyển mỗi [1 giây] thời gian tồn tại của Vùng dung nham thành [hệ số sát thương] 〈x3〉.,<color=#6EDCFF>,Tăng sát thương Vùng dung nham 15X,<color=#6EDCFF>,Giảm hồi chiêu Vùng dung nham 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,590 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1281 ,15,1 ,0 ,1 ,0 ,1 ,0 ,Quá tải,15,Vùng dung nham được cường hóa và sinh ra nhanh hơn.,`,`
57,Kẻ hủy diệt,조합,425 ,409 ,0 ,<color=#F5F5E1>,Vùng điện có thêm [hồi chiêu] 〈5 giây〉,<color=#F5F5E1>,Vùng điện có thêm [thời gian tồn tại] 〈3 giây〉,<color=#6EDCFF>,Tăng sát thương Vùng điện 99X,<color=#6EDCFF>,Tăng kích thước Vùng điện 99%,<color=#FF6464>,Giảm hồi HP mỗi giây 0.1%,<color=#FFFFFF>,`,293 ,99 ,24 ,-10 ,1 ,0 ,1 ,0 ,1 ,0 ,991 ,99,724 ,10 ,1 ,0 ,1 ,0 ,Terminator,16,Vùng điện được thi triển với nhịp ngắn hơn cùng sức hủy diệt tăng cao.,`,`
58,Diệt chủng,조합,516 ,382 ,0 ,<color=#F5F5E1>,Tia bí thuật được [Hợp nhất] thành một và xoay nhanh hơn,<color=#F5F5E1>,[Kích thước tăng thêm] của Tia bí thuật được {chuyển hóa} thành [sát thương],<color=#6EDCFF>,[Số lượng] Tia bí thuật tăng [hệ số sát thương] thêm 〈4〉 mỗi tia,<color=#FF6464>,Giảm thời gian Tia bí thuật 33%,<color=#FF6464>,Tăng hồi chiêu Tia bí thuật 33%,<color=#FFFFFF>,`,538 ,33 ,543 ,33 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
59,Exidium,조합,542 ,480 ,0 ,<color=#F5F5E1>,Kích thước lõi Chớp điện tăng lên,<color=#6EDCFF>,Tăng sát thương Chớp điện 7X,<color=#6EDCFF>,Tăng kích thước Chớp điện 100%,<color=#6EDCFF>,Giảm hồi chiêu Chớp điện 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,606 ,100 ,609 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1301 ,7,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
60,Deus Ex Machina,조합,0 ,0 ,0 ,<color=#FF6464>,Không thể dùng Phép kết hợp nữa,<color=#F5F5E1>,Tăng [Cấp tối đa] thêm 〈10〉.,<color=#F5F5E1>,"Với mỗi cấp [Phép chủ động] đã học, các chỉ số sau được cường hóa",<color=#EB96FF>,Hệ số sát thương mọi phép tăng thêm 0.01,<color=#EB96FF>,Giảm hồi chiêu mọi phép 0.1%,<color=#FFFFFF>,`,106 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
61,Glacium,조합,434 ,399 ,0 ,<color=#F5F5E1>,Sóng thần lan ra mọi hướng từ nhân vật.,<color=#6EDCFF>,Tăng sát thương Sóng thần 30X,<color=#6EDCFF>,Tăng số lượng Sóng thần 25%,<color=#FF6464>,Tăng hồi chiêu Sóng thần 25%,<color=#EB97FF>,`,<color=#FFFFFF>,`,254 ,25 ,260 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,951 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
62,Kiếm linh hồn,조합,390 ,381 ,0 ,<color=#F5F5E1>,Vệ tinh biến thành lưỡi kiếm và xoay nhanh hơn nhiều.,<color=#F5F5E1>,[Hệ số sát thương] và [tốc độ xoay] tăng tỷ lệ thuận với [tỷ lệ chí mạng] của Vệ tinh.,<color=#6EDCFF>,Tăng sát thương Vệ tinh 5X,<color=#FFFFFF>,`,<color=#EB98FF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1006 ,5 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
63,Phóng điện,조합,471 ,417 ,0 ,<color=#F5F5E1>,"Khi Điện giật phát nổ, kích thước của nó tăng lên và phóng ra các [viên đạn].",<color=#6EDCFF>,Tăng sát thương Điện giật 12X,<color=#FF6464>,Tăng hồi chiêu Điện giật 33%,<color=#FFFFFF>,`,<color=#EB99FF>,`,<color=#FFFFFF>,`,432 ,33 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1121 ,12 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
64,`,조합,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#EB100FF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
65,`,조합,0 ,0 ,0 ,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#EB101FF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,`
